,INC,OUT,TEN,MCH,BAN
191,34197.3,15.74015572,11.64983735,220.132293,1719.173387
192,11518.58,13.41209586,2.964559883,152.455519,1205.956363
194,32097.17,13.62135046,3.892407013,202.443347,741.7766988
195,23424.88,14.95912113,3.226996711,210.12704,932.6084359
200,18198.59,9.42799205,1.474810061,252.637807,815.194738
201,16851.94,10.95510131,18.56165869,194.999168,2007.303617
202,16440.05,10.8621377,12.39088509,242.610632,2088.48083
205,30664.56,9.580144161,17.72593456,240.114868,2059.200998
208,67211.95,6.511921085,4.648958177,162.511928,894.6733856
214,13765.39,16.68178185,15.85002222,232.637807,2401.406545
220,17814.0,18.19542503,2.73951266,159.947583,1046.054674
221,22533.05,13.53989069,4.973046104,245.145743,1204.479468
222,19974.4,5.458806701,10.28430068,255.155493,1616.908193
224,10330.1,6.918984305,6.945736396,159.947583,1427.088655
226,11217.96,12.66717474,6.035737465,179.947583,795.4957358
228,20566.64,6.915228797,5.071456681,232.637807,1402.20491
229,36128.68,11.30215199,12.02106494,195.006206,1447.196935
230,52129.84,9.513085538,5.049303717,267.642733,1662.510936
232,10909.79,12.21852573,15.31997698,220.114868,2181.752793
236,41412.1,12.4703522,25.8634566,255.133571,3309.919373
237,99195.08,7.913676085,9.405224809,194.966286,1623.273925
239,15930.45,17.41324465,16.59325254,174.976769,2229.268031
243,118022.06,6.09060584,14.20349453,152.462354,1947.7853
244,51992.79,10.2863601,4.98152586,207.609354,849.1972541
252,27235.54,9.321265424,15.28108311,210.151777,1811.964373
253,70476.82,3.564651961,4.135827839,159.965581,1066.632555
254,49396.09,7.779622319,9.740709475,190.173699,1514.131966
255,35060.94,10.74985413,1.213704886,202.649979,1189.549671
259,75042.1,3.11231175,6.549035393,232.62403,1489.077486
260,91001.1,8.284591121,10.57197066,242.628057,1649.312808
261,44426.28,6.269792565,3.379756569,202.443347,905.1959227
264,12453.24,10.00344746,14.96503088,225.145743,2436.57146
265,15934.12,4.255224068,23.79323993,275.133571,2677.74041
266,48314.4,11.2714618,11.45675389,287.642733,1779.309609
267,5511.77,8.477982632,11.04076215,177.65076,1494.716409
268,10701.11,9.753145376,7.425503428,220.114868,1740.72604
269,10767.15,14.57387887,2.411712843,197.516854,704.7552669
271,25071.58,11.62771397,9.068119482,175.133074,1282.279049
272,368.5,6.114030983,1.926789854,147.478341,287.8189836
278,13194.33,13.42263904,5.104873611,147.460067,682.9871863
279,63963.36,3.559550725,6.877942744,232.637807,1537.109931
280,34447.89,5.971214226,21.17839683,137.439154,1961.923965
282,5009.07,11.30031859,3.778174405,242.632554,929.2607767
283,14202.72,10.26519974,11.58276897,187.609354,1849.484087
284,54779.76,16.28075484,11.62258922,232.652038,1998.680227
286,11250.71,10.93514898,3.940297464,159.947583,992.3501481
288,15292.25,17.05256354,1.473304337,245.131966,954.0290712
290,17080.57,10.32744663,6.253919786,209.993134,1297.050577
293,123763.12,7.259022839,5.201330266,137.516476,665.4740915
294,84301.44,10.97274944,12.42120946,207.475448,1886.153328
299,42755.27,7.014445177,7.62779591,220.132293,1165.564309
302,63095.62,10.88047174,14.14101821,270.160419,2335.130986
303,82131.87,9.975481565,3.212400569,202.443347,769.8534863
305,9450.84,9.53003591,3.834727471,137.468388,649.3891796
311,40271.47,13.93422217,9.821728297,172.484753,1283.463995
316,35102.93,13.357551,2.462148717,192.470522,900.4043765
317,26391.1,14.04061351,14.09942339,220.118516,1693.576099
318,29982.49,4.586902043,7.272649386,232.622804,1143.826239
322,119968.61,8.993783986,14.6728104,184.985293,1564.936841
324,70174.11,8.702618087,11.74635394,190.12704,1971.429689
326,17191.02,12.61411193,22.8577804,220.114868,3040.553763
327,24732.09,9.703658153,1.407866545,107.495766,864.7036995
329,40902.49,8.816497541,11.10356439,222.679213,1973.661316
330,87568.16,11.11756812,9.734064703,200.132293,1755.645123
331,69327.78,13.07119875,12.21754865,262.610632,1758.735654
332,5194.22,12.10865222,2.423722078,152.495236,557.0118807
336,114398.35,8.713443753,6.485034974,124.960655,1221.100604
337,105646.73,7.191637555,1.14113241,252.62403,745.0493094
339,38864.57,10.66015784,13.73012915,204.961033,1771.472597
340,25215.22,7.044096971,5.690013293,245.145743,1201.484293
343,29976.15,9.759360165,4.893221514,207.475448,1284.442486
345,14980.5,9.617602049,8.381515693,232.637807,1718.600163
347,26204.77,8.669204519,13.62832619,212.641455,2270.749222
348,27978.78,13.97477268,1.281566108,152.495236,567.6177123
349,46622.3,11.19861363,3.365552603,134.950905,380.0501404
350,34419.26,10.18921185,5.397827503,200.132293,1436.408211
353,122263.81,14.91100172,7.825845378,162.471255,863.0820861
354,64446.9,11.17971961,14.12966281,222.660939,1854.793303
356,23956.91,17.39213562,5.388165017,182.446995,764.2419259
358,50150.81,6.6769165,2.485229169,172.456745,1179.782483
361,40728.96,5.670110512,4.950398978,220.118516,775.5613336
363,65187.42,9.826229752,12.29558653,159.965008,1334.403775
366,28909.96,8.601959705,7.663625954,112.484375,927.1279646
369,71348.1,9.507249087,12.3492819,154.961766,1942.250203
374,65229.24,9.089998883,12.78453216,142.482694,1865.48625
375,15110.46,11.21142669,2.527681829,165.018175,908.7910203
377,1666.59,2.657311067,4.258552081,139.987503,956.2636975
379,54373.35,11.07079287,5.204853319,212.622804,1572.045646
381,23629.05,15.68552752,11.16847385,159.947583,1599.727567
384,37703.83,4.946414499,17.18829795,184.967019,1828.279015
387,25742.72,7.663279641,3.310281145,167.456419,556.2193844
388,21072.82,7.43893815,2.993625911,197.516854,1035.183038
389,37774.81,11.70582668,16.26037537,152.488401,1580.43019
390,20811.42,13.60774223,3.045064701,162.482694,703.6927423
391,34474.39,6.02604588,15.35762157,262.610632,1842.258692
392,81388.6,8.273678516,5.940902789,190.173699,1167.271182
393,78272.96,9.424686492,5.988505209,187.513939,1007.289786
394,11655.88,10.05990041,7.138784756,212.641455,1500.69101
396,40183.01,10.3853182,4.221959275,232.637807,1342.310858
398,10331.57,13.43076227,10.90397471,277.63748,1710.958869
400,26004.59,9.100502767,8.611218573,220.118516,1261.554565
401,77291.95,11.9086306,1.28507969,139.951231,794.9581116
403,75871.75,12.07096717,3.084376591,210.138,952.5914921
410,9729.44,11.7174619,3.778575882,184.979684,1254.725693
411,35891.67,6.286550988,10.27819073,175.006206,1570.345219
422,14817.22,11.18732698,6.437878909,200.132293,1537.296207
423,6170.55,11.6443975,15.22323989,182.460772,1614.544362
425,86453.08,9.202197695,7.218752772,230.105118,1317.766231
431,71215.87,6.702458265,5.02568958,184.978458,811.5600648
433,18895.18,4.874661522,2.522962069,182.490006,676.6465414
434,48852.54,4.924368526,3.508974199,192.470522,801.4709595
435,6574.36,9.173811061,11.50651216,149.962093,1316.145864
437,23028.48,6.007630739,5.505247606,245.174977,1339.709597
440,54961.9,12.07594948,3.364993591,245.145743,1149.108155
442,21897.41,13.1215267,1.171557288,182.467607,544.12326
443,72129.01,10.4523599,7.262579715,267.642733,1803.917571
445,59147.78,5.763454353,10.8600084,164.978458,1932.20577
446,65900.37,9.086330232,16.48065356,240.114868,1886.312286
448,23382.74,8.431329813,4.85576672,127.442069,1060.026737
455,18402.27,5.236234219,4.991605214,212.669463,1259.735294
456,43631.75,10.08565191,10.5903229,175.133074,1287.821218
460,99482.26,12.94031641,9.461939857,252.62403,1267.634616
462,50666.54,4.88644359,13.99579075,240.114868,1877.852717
465,101000.3,11.26553266,14.58066686,149.944668,2023.519366
467,69156.25,15.62909771,2.760467902,187.609354,1283.253595
470,156740.67,13.45818264,1.092219692,192.440432,499.7170655
471,23165.82,11.06361355,14.68600159,172.44408,1562.32774
474,72490.86,7.581534683,9.493585403,167.484705,1781.692875
475,12476.24,10.67669456,5.372758028,129.962093,1086.92093
478,80862.03,7.949846907,12.9401487,255.137219,1794.116848
481,19133.76,9.993073346,7.176411327,255.155493,1381.802291
484,31250.41,14.32006623,1.033067819,167.456419,538.1168657
486,13533.47,12.67439697,3.820262172,287.642733,1115.476658
487,46533.08,11.95689175,2.640977982,167.456419,522.7315686
489,14393.72,12.55052929,1.634394387,242.632554,883.9008134
490,4102.64,13.71586929,2.012075635,130.006414,565.3167155
491,11249.18,8.90345193,10.06913982,257.63748,2062.605873
495,97761.18,9.442505655,8.573785357,220.132293,1218.124487
496,20789.86,2.760749024,13.86188691,252.637807,1874.789062
497,34038.71,13.2491569,10.77929667,142.452604,1806.007164
499,24266.04,7.779828793,16.92163398,210.105118,2275.888923
501,18966.81,9.905787776,2.81822785,194.969934,785.6266383
503,38866.92,12.19296315,4.806882153,242.628057,1047.361909
504,44314.39,6.892345443,5.658327457,197.48762,893.5446642
505,26929.55,8.482252615,2.649525158,242.610632,1210.047397
508,21278.71,13.24354261,1.534192133,182.490006,736.9303356
512,28908.4,8.27152774,1.542556879,225.145743,1192.502878
513,159315.5,10.08608649,13.65776694,232.62403,2140.402985
514,47370.85,6.964656883,5.165404738,207.638588,867.2394016
515,59158.79,7.514067308,13.17859958,175.133074,1581.016214
516,39802.79,3.262720061,1.557206083,242.628057,724.6774743
519,7681.82,11.34885042,7.228526307,117.485813,967.7426094
521,21795.58,8.661233766,2.915827364,149.937833,862.3199149
524,35939.37,12.48417719,1.502124145,139.99789,522.7806578
525,24091.33,10.56592379,1.906368477,139.951231,736.161108
526,41209.8,11.60110678,15.60605339,117.439154,2148.889242
527,26695.46,19.07180624,2.084396413,235.137219,1304.999684
529,12765.41,8.088906499,2.050742411,149.991327,655.3814577
532,50560.17,7.823058882,8.650238791,137.439154,1090.76661
536,17218.09,14.78936522,5.207179461,159.964152,729.541703
542,20957.58,9.133118524,7.349620762,240.114868,1164.240281
543,33559.74,13.04068054,14.71424943,194.976769,1651.424177
544,30142.44,10.43511467,7.073151031,245.146969,1489.301457
546,12924.08,12.33031848,8.054118994,197.483972,1808.311421
548,31006.39,14.35467948,22.76986341,197.470195,2847.700412
549,28580.25,9.431168696,2.519975147,149.974105,908.4356314
550,23706.94,11.27381764,5.915247686,204.979684,973.4512833
552,77622.97,6.464103552,20.44846104,225.131966,2936.746847
553,86411.28,5.772344439,10.40161068,202.636202,1883.962411
557,51203.14,8.776451212,1.410971237,169.937833,382.5347203
558,10818.08,9.011401399,8.874920206,159.934918,1043.790368
560,25819.56,7.298432418,9.306233406,245.146969,1762.075547
561,21806.2,13.40423523,4.902104964,177.48762,1350.716866
562,28082.45,9.879567236,1.894776657,162.465269,1052.042079
568,57107.43,5.33893117,16.58244758,182.443347,1981.954133
569,6769.7,15.39425705,14.17620441,172.487091,1695.851887
572,23022.97,10.9783735,6.956508263,220.114868,1631.872719
573,33529.19,9.023888498,8.274610767,159.994242,954.6181316
574,73378.99,6.599742586,6.786723844,159.964152,957.753476
575,3504.7,8.863330522,3.605888824,275.133571,1057.571757
581,30944.95,11.62322378,7.21126107,179.947583,879.6579171
586,19373.31,13.25882319,6.951491551,200.118516,1356.299478
588,24903.99,6.860771245,11.85998919,134.980139,1299.066214
591,25331.3,8.194610203,11.41238102,137.483594,1511.115195
592,25898.52,10.98987178,15.37990405,207.638588,1795.270512
594,88915.15,7.344740595,5.30268427,207.609354,1051.833922
595,21168.49,7.325364653,2.843930975,134.950905,567.3663629
596,74026.91,8.200222508,13.70230727,240.114868,1614.036609
601,35089.38,9.647132151,2.437089876,139.934918,909.6827162
605,29361.24,16.82309021,1.504124801,229.993134,729.7054333
607,60231.84,9.712856304,4.109952242,159.947583,1200.010955
608,20191.76,9.741346714,2.566196093,240.114868,774.8506663
609,44316.41,15.26191649,4.440328327,172.440432,1178.437008
610,51090.87,14.12126974,12.3848312,169.967067,1321.193696
611,58324.01,12.35356432,6.396338897,149.962093,821.4684599
614,27259.78,12.74662948,3.795086086,232.637807,1517.166558
616,27537.94,5.702833154,3.484000437,184.963371,1138.169594
617,8690.46,12.55174668,5.770302149,182.490006,829.9759818
620,63725.44,10.8901854,11.38939562,242.632554,1499.600891
621,14900.46,10.07652766,1.445148407,162.500489,524.9630078
624,15621.76,10.75643368,2.08299524,144.988941,951.3512058
625,12782.07,5.330342998,7.110141173,150.020764,894.626194
626,14331.34,10.54615588,3.041138012,275.133571,1045.360604
630,49915.86,12.67661786,5.141923371,184.978458,927.5974127
631,11455.64,13.26508243,19.17821675,207.609354,2031.266556
634,61436.18,8.157170567,3.769989038,242.632554,857.6130334
635,83705.06,8.36802634,9.126959742,154.991856,1640.244176
637,36699.84,9.435961177,24.39432985,245.145743,2895.881802
638,26942.28,11.06173556,4.676474348,187.609354,1396.347808
639,15638.87,7.48309773,4.065555679,159.965008,640.3809858
640,49252.56,13.31601627,19.95372925,192.440432,2072.694492
641,8497.8,10.34957334,4.241019424,172.440432,1001.860025
644,24940.07,9.542022573,4.483251529,159.951231,558.9953054
645,18410.16,9.417040882,2.768037617,159.965008,570.1301629
647,100626.29,13.90587666,7.748370205,187.656013,1219.21915
650,60415.32,8.497807171,20.75499393,220.118516,2245.476461
652,29876.17,8.063885304,5.260136013,245.146969,1502.677072
653,22790.72,9.957204622,28.38835566,162.465269,3249.417944
654,67828.98,13.32489174,2.451160296,149.984492,764.893446
658,13673.66,3.629351785,11.24483017,200.132293,1967.957184
660,47738.37,11.284594,5.991017375,214.966286,961.1315871
663,73566.21,12.95955778,19.21689293,210.105118,2562.992759
664,50601.07,10.05136169,11.34954445,142.500692,1766.503802
670,32796.83,13.23925733,5.261502169,162.482694,932.1606254
671,43636.68,8.670379621,7.279044337,159.994242,906.7867988
673,37376.03,11.35680475,15.92219451,255.155493,1986.939234
674,60317.8,9.271105349,3.525858481,159.983006,532.0660282
675,72436.33,7.92301547,9.85591776,169.944668,1014.45747
681,90059.86,8.862064813,8.886453729,127.442069,1390.292533
685,169580.73,3.625998515,7.798523158,220.161527,1307.965782
687,18326.88,9.479801512,9.428767036,232.641455,1328.568048
689,5850.56,9.883677574,5.78988794,194.966286,1503.682743
695,45777.4,12.37429389,1.570209934,152.44408,930.6501084
696,6396.98,5.896054877,10.85959186,232.641455,1561.283799
697,26785.51,15.04983927,1.338441957,182.465269,491.8773506
698,23311.73,8.375886131,2.995498523,242.610632,1300.689811
699,65056.0,10.7721728,10.56061324,202.443347,1252.81737
702,12145.97,7.275899757,12.84120976,240.114868,1885.438773
703,46111.61,6.987857557,5.759265746,184.967019,947.6695867
707,16852.05,8.824004704,3.520675631,172.457857,700.0569426
708,68180.35,6.913368813,10.49916723,194.966286,1924.891176
709,26569.28,15.22907333,1.72479919,174.975543,704.1947645
710,24034.97,9.864571407,5.567028377,149.937833,1207.740526
713,52875.82,10.83227898,5.759571228,277.63748,1251.370845
716,84826.6,7.612812481,16.75922789,275.133571,2064.474901
717,42305.68,7.167928889,13.85187885,147.456419,1716.888034
718,18301.98,14.32600086,9.472450618,204.949594,1114.13669
721,11661.07,6.858268186,4.800346852,242.610632,1680.337106
724,96022.76,8.025412394,9.758067608,182.443347,1619.817463
725,52856.4,9.730159336,9.820011726,159.947583,1596.707755
729,25100.17,8.07133879,29.8284414,222.649979,3113.451696
731,16778.35,14.19955362,7.439569893,125.007314,890.4483344
732,24518.97,3.5419259,21.05353987,204.949594,2050.67636
736,48226.58,6.164653674,4.803306414,220.118516,857.7406243
737,5694.61,7.094794839,6.051428262,154.991856,1226.543716
739,46988.4,9.55444436,1.650263525,147.442069,248.179366
745,3563.55,9.545907757,9.539962975,159.947583,1535.462356
748,59930.95,7.482298411,3.736763788,172.484753,866.8410599
751,91141.18,9.981655957,7.677648117,175.133074,1166.469107
754,9994.08,13.98915649,6.343374736,245.145743,1207.841461
755,31779.0,7.999794525,21.1875693,220.132293,2229.321043
757,29459.16,8.157311089,3.196943016,275.119794,830.61429
758,17520.23,4.407345296,3.248169927,162.45383,991.7633623
766,14999.93,12.49098641,6.587201276,202.443347,1026.300872
770,27581.84,10.58136361,2.279259145,212.641455,1092.959251
771,45553.16,14.4386161,9.043575718,172.470522,1587.044822
777,75130.89,7.92468528,3.189179387,210.105118,1345.804923
779,10589.74,7.892007202,8.908332009,194.974431,982.2094626
781,33329.83,9.783917847,9.715065141,262.610632,1509.912313
782,27798.01,11.87926178,9.582004744,255.119794,1947.487826
783,112245.07,8.960273769,5.84055678,192.470522,780.3612617
786,49740.98,9.051251778,12.96208301,129.99153,1848.639719
789,6972.84,9.751202613,11.75027091,164.964681,1714.901159
790,54471.65,8.278970561,6.509951549,159.965581,1354.241904
793,5149.97,13.84635691,4.208227552,222.628057,1444.321124
794,57559.65,10.02798635,4.933319572,204.963371,854.4182496
795,14824.71,7.363525885,6.284107728,172.44408,829.2707102
796,74381.07,15.15657239,2.179548523,220.114868,1211.247766
797,62905.7,8.441192512,9.289517752,149.97755,1096.234525
798,4297.28,10.80087066,12.55438733,270.160419,2312.167935
800,20433.9,10.4009592,8.063547235,232.62403,1810.319743
801,17089.24,10.39432745,4.612099351,222.632554,1479.639912
802,27466.82,15.08380131,14.60526414,262.610632,2208.615485
804,50264.01,12.76255256,5.044076415,165.01134,928.4588213
808,35808.85,10.84787976,9.162445307,179.965581,993.6031859
809,43329.35,8.222455858,5.823321565,255.119794,1590.329883
810,25435.29,12.9775086,8.294910436,182.460772,1048.128938
812,98173.49,6.483393995,5.786960464,207.609354,993.8801154
813,6990.37,5.729464009,19.70266217,117.468591,2268.392356
816,29736.31,3.461555254,4.986528165,245.146969,1460.586413
819,41717.46,7.544577618,1.525343103,232.652038,805.1476345
820,29907.64,9.891516764,11.78880203,147.442069,1173.669727
821,12482.52,10.39942085,24.19132114,242.61428,2551.579661
822,12072.44,7.010398119,14.37727698,172.487091,2033.164639
824,42440.36,14.81572883,5.691421867,154.975543,1396.977223
825,35223.63,7.647106164,6.492246879,154.975543,1526.166139
826,87580.83,9.746705702,3.831221517,207.481057,767.1879493
829,78944.18,9.263624334,8.654535873,194.976769,1120.116258
831,29005.1,11.97165632,1.440416687,207.638588,635.4288732
832,14715.35,9.812128627,7.542749465,184.971516,943.6675679
834,45181.91,13.9416954,6.28842083,169.944668,958.0823564
835,51909.42,10.13282402,1.532973151,220.132293,720.5035962
840,28056.39,7.637291768,19.76529476,200.118516,2441.022927
842,14219.58,11.16404955,17.37839741,182.460772,1815.9129
843,48525.16,8.096814588,5.130341596,212.641455,1404.974888
847,71049.68,12.28484802,1.078815111,142.482694,853.3942121
848,80844.48,6.325988402,7.161869147,132.479779,1371.738945
850,58126.33,16.58995671,11.38490458,240.114868,1549.466596
851,47218.76,13.27497461,26.01552533,230.105118,2601.095159
852,4064.62,8.461468748,4.784582646,129.994975,1038.488303
853,24829.93,13.12937988,5.110718131,159.980465,579.4447417
855,11969.69,8.023097117,4.667703398,247.664655,1621.139508
856,9124.29,14.87070352,7.455148937,184.993915,1116.825249
858,17280.24,10.65786656,17.28550612,277.651257,2195.914801
862,67100.14,6.780313334,2.010353461,169.992756,441.5863902
863,26763.52,10.65970319,5.240131023,172.440432,1221.696817
865,18653.61,10.60701919,1.901532614,235.141716,1215.412022
866,37922.51,8.441465412,5.541384803,242.61428,1212.756335
867,23330.47,10.79373083,5.62805389,117.51525,828.6984604
870,9441.99,11.11012751,2.086431077,139.934918,922.2958319
872,13359.18,8.925549447,2.704019894,117.472036,476.2957809
873,20761.43,10.01977372,1.656338685,187.481057,1097.557516
874,21486.46,5.349482623,14.89720747,225.145743,2539.76136
875,36233.87,9.530649932,8.735757967,159.965008,1068.543522
876,22120.88,10.06967038,1.161803984,255.141716,1004.100502
877,40725.32,10.27136063,13.76871228,184.993915,1801.182918
879,36574.2,4.771959745,13.01023159,182.465269,1469.359942
881,32746.0,11.90094641,5.295927221,152.47417,1109.108163
883,64292.47,8.659099436,14.04985628,154.991856,2072.078593
887,40460.35,13.32211645,9.195415365,252.62403,1321.204826
889,58590.12,7.84599874,1.79772408,152.509013,740.0368256
891,38692.31,10.9725355,9.923586914,267.664655,1640.006106
900,40108.38,13.05019837,11.55987401,129.962093,1766.074131
901,18762.01,12.017333,5.261212465,212.655686,1101.650764
905,34090.24,4.455529019,12.05713486,127.488728,1234.176575
906,46728.49,10.13094024,3.105139512,220.132293,809.979871
909,12000.1,5.114025367,6.991642782,182.467607,927.9297296
911,49710.21,14.96043073,2.368283285,172.470522,1148.280787
913,70133.7,10.87926101,8.730405893,257.63748,1880.78289
914,78537.66,15.55101617,4.173314039,222.628057,1560.361086
917,18414.04,6.911626144,3.679255472,142.485486,836.5749555
919,8716.12,10.52545349,5.451895614,159.964152,765.8624235
920,97592.52,9.699996141,12.81881129,194.958118,1553.013845
923,26659.08,3.294848551,5.259033624,204.949594,876.2446802
925,14623.21,8.888970383,4.245035615,164.985293,1083.381195
926,53713.12,7.054722377,4.035770971,172.503404,900.6921852
927,7598.57,7.14125345,6.434280902,277.651257,1482.558282
928,23773.72,5.965254402,5.425068599,275.133571,1386.2317
932,39770.82,10.86747966,4.816592997,184.967019,938.5556359
934,76785.63,9.718721513,11.58576976,275.119794,1706.688082
939,24499.96,11.30041277,1.276890621,139.965008,848.3285479
940,4493.49,10.41328888,5.915225146,182.443347,1302.621469
941,17649.89,7.694429352,2.646328849,159.964152,730.6968601
942,9035.25,12.37922958,13.7944302,139.934918,1965.419062
943,60251.75,13.65070244,1.550579619,177.65076,771.5712211
944,17773.11,9.846699861,10.03364243,210.105118,1830.93361
945,47573.47,13.03239121,14.63294721,172.44408,1486.699299
946,47529.47,13.17617062,7.380291282,117.472036,823.39436
948,71934.85,13.25327303,2.371911572,210.12704,594.5451059
951,17714.64,7.639596437,1.59959844,169.937833,427.0934802
952,21128.1,10.28840622,27.46106977,222.649979,3069.566918
953,17104.94,11.22141288,1.457335487,200.118516,1072.481938
954,132139.98,9.046493464,17.34243942,255.137219,2389.270826
955,6953.72,10.35968528,9.759495559,190.12704,1663.694612
957,131500.47,12.40982989,16.66213522,220.132293,1943.761302
960,44520.0,14.17316345,9.349597147,275.133571,1589.339963
963,55821.74,3.888998584,1.153881327,204.949594,580.0697389
965,6274.49,7.98755916,2.625315241,139.99789,474.5558784
966,7371.1,8.397641269,11.20984456,190.12704,2026.429158
